Rank,Player,RUSHING ATT,RUSHING YDS,RUSHING Y/A,RUSHING LG,RUSHING 20+,RUSHING TD,RECEIVING REC,RECEIVING TGT,RECEIVING YDS,RECEIVING Y/R,RECEIVING TD,MISC FL,MISC G,MISC FPTS,MISC FPTS/G,MISC ROST,year,position
27,DeShaun Foster (FA),133,529,4.0,20,0,2,15,8,83,5.5,1,1,8,77.2,9.7,0.0%,2007,rb
28,Leon Washington (FA),71,353,5.0,49,0,3,36,3,213,5.9,0,1,16,76.0,4.8,0.0%,2007,rb
29,Thomas Jones (FA),160,606,3.8,36,0,0,17,5,122,7.2,0,0,9,72.8,8.1,0.0%,2007,rb
30,Travis Henry (FA),128,580,4.5,33,0,1,7,0,65,9.3,0,0,7,70.5,10.1,0.0%,2007,rb
31,Kevin Jones (FA),79,343,4.3,34,0,4,14,0,88,6.3,0,0,6,67.1,11.2,0.0%,2007,rb
32,Shaun Alexander (FA),149,492,3.3,22,0,2,12,0,56,4.7,0,0,8,66.8,8.4,0.0%,2007,rb
33,Sammy Morris (FA),85,384,4.5,49,0,3,6,0,35,5.8,0,0,6,59.9,10.0,0.0%,2007,rb
34,Justin Fargas (FA),81,437,5.4,48,0,1,10,0,93,9.3,0,0,8,59.0,7.4,0.0%,2007,rb
35,Warrick Dunn (FA),122,392,3.2,21,0,2,18,5,78,4.3,0,0,8,59.0,7.4,0.0%,2007,rb
36,Kenton Keith (FA),76,350,4.6,22,0,3,9,0,55,6.1,0,0,8,58.5,7.3,0.0%,2007,rb
37,Pierre Thomas (FA),52,252,4.8,24,0,1,17,5,151,8.9,1,0,12,52.3,4.4,0.0%,2007,rb
38,Najeh Davenport (FA),49,272,5.6,45,0,3,7,0,66,9.4,0,0,8,51.8,6.5,0.0%,2007,rb
39,DeShawn Wynn (FA),50,203,4.1,44,0,4,9,0,73,8.1,0,0,7,51.6,7.4,0.0%,2007,rb
40,Jerious Norwood (FA),53,311,5.9,67,0,1,17,2,143,8.4,0,0,8,51.4,6.4,0.0%,2007,rb
41,Ron Dayne (FA),100,348,3.5,39,0,2,6,2,35,5.8,0,0,7,50.3,7.2,0.0%,2007,rb
42,Ahman Green (FA),70,260,3.7,18,0,2,14,0,123,8.8,0,0,6,50.3,8.4,0.0%,2007,rb
43,Fred Taylor (FA),109,474,4.3,76,0,0,5,0,20,4.0,0,0,8,49.4,6.2,0.0%,2007,rb
44,Fred Jackson (FA),58,300,5.2,27,0,0,22,5,190,8.6,0,0,8,49.0,6.1,0.0%,2007,rb
45,Brian Leonard (FA),86,303,3.5,31,0,0,30,1,183,6.1,0,0,16,48.6,3.0,0.0%,2007,rb
46,Greg Jones (FA),42,119,2.8,11,0,2,11,0,99,9.0,2,0,16,45.8,2.9,0.0%,2007,rb
47,Brandon Jackson (FA),75,267,3.6,46,0,1,16,0,130,8.1,0,0,11,45.7,4.2,0.0%,2007,rb
48,Kevin Faulk (FA),40,185,4.6,14,0,0,25,0,210,8.4,1,0,9,45.5,5.1,0.0%,2007,rb
49,Laurence Maroney (FA),89,417,4.7,19,0,0,2,0,37,18.5,0,0,6,45.4,7.6,0.0%,2007,rb
50,Cadillac Williams (FA),54,208,3.9,20,0,3,3,0,17,5.7,0,0,4,40.5,10.1,0.0%,2007,rb
51,Chris Brown (FA),57,300,5.3,42,0,1,8,0,30,3.8,0,0,5,39.0,7.8,0.0%,2007,rb
52,Chester Taylor (FA),58,267,4.6,37,0,1,8,8,74,9.3,0,1,6,38.1,6.4,0.0%,2007,rb
53,Selvin Young (FA),42,222,5.3,40,0,0,18,0,157,8.7,0,0,8,37.9,4.7,0.0%,2007,rb
54,Rudi Johnson (FA),71,196,2.8,20,0,0,9,0,98,10.9,1,0,5,37.4,7.5,0.0%,2007,rb
55,Jason Wright (FA),46,186,4.0,15,0,1,11,0,110,10.0,0,0,8,35.6,4.5,0.0%,2007,rb
56,Jesse Chatman (FA),36,196,5.4,30,0,1,14,0,93,6.6,0,0,7,34.9,5.0,0.0%,2007,rb
57,Heath Evans (FA),34,121,3.6,11,0,3,4,0,43,10.8,0,0,16,34.4,2.2,0.0%,2007,rb
58,Reuben Droughns (FA),38,155,4.1,45,0,3,1,0,4,4.0,0,0,8,33.9,4.2,0.0%,2007,rb
59,Correll Buckhalter (FA),40,193,4.8,24,0,1,10,4,77,7.7,0,0,8,33.0,4.1,0.0%,2007,rb
60,Adrian Peterson (FA),28,127,4.5,11,0,0,24,0,193,8.0,0,0,8,32.0,4.0,0.0%,2007,rb
61,Darren Sproles (FA),37,164,4.4,34,0,2,10,0,31,3.1,0,0,15,31.5,2.1,0.1%,2007,rb
62,Tatum Bell (FA),44,182,4.1,24,0,1,14,0,63,4.5,0,0,5,30.5,6.1,0.0%,2007,rb
63,Michael Turner (FA),37,216,5.8,74,0,1,2,0,14,7.0,0,0,8,29.0,3.6,0.0%,2007,rb
64,Vonta Leach (FA),2,2,1.0,1,0,1,25,9,108,4.3,2,0,16,29.0,1.8,0.0%,2007,rb
65,Maurice Morris (FA),28,129,4.6,21,0,0,6,0,99,16.5,1,0,5,28.8,5.8,0.0%,2007,rb
66,Ladell Betts (FA),56,199,3.6,20,0,0,9,0,84,9.3,0,0,8,28.3,3.5,0.0%,2007,rb
67,Michael Pittman (FA),35,169,4.8,29,0,0,11,2,94,8.5,0,0,5,26.3,5.3,0.0%,2007,rb
68,Ahmad Bradshaw (FA),23,190,8.3,88,0,1,2,0,12,6.0,0,0,12,26.2,2.2,0.0%,2007,rb
69,Lawrence Vickers (FA),15,43,2.9,7,0,0,13,1,91,7.0,2,0,16,25.4,1.6,0.0%,2007,rb
70,Chris Henry (FA),18,102,5.7,24,0,2,3,0,30,10.0,0,0,3,25.2,8.4,0.0%,2007,rb
71,Musa Smith (FA),27,82,3.0,17,0,1,12,0,97,8.1,0,0,8,23.9,3.0,0.0%,2007,rb
72,Michael Bennett (FA),30,109,3.6,19,0,1,10,0,47,4.7,0,0,9,21.6,2.4,0.0%,2007,rb
73,Leonard Weaver (FA),13,69,5.3,37,0,0,16,0,137,8.6,0,0,7,20.6,2.9,0.0%,2007,rb
74,Michael Robinson (FA),26,121,4.7,28,0,0,11,0,73,6.6,0,0,15,19.4,1.3,0.0%,2007,rb
75,Maurice Hicks (FA),14,81,5.8,17,0,1,8,0,48,6.0,0,0,8,18.9,2.4,0.0%,2007,rb
76,Cecil Sapp (FA),7,28,4.0,12,0,1,7,0,40,5.7,1,0,7,18.8,2.7,0.0%,2007,rb
77,Vernand Morency (FA),17,70,4.1,15,0,0,17,0,116,6.8,0,0,5,18.6,3.7,0.0%,2007,rb
78,Sam Gado (FA),18,46,2.6,7,0,1,8,0,59,7.4,0,0,3,18.5,6.2,0.0%,2007,rb
79,Aaron Stecker (FA),36,116,3.2,13,0,0,15,1,67,4.5,0,0,8,18.3,2.3,0.0%,2007,rb
80,Mike Karney (FA),7,14,2.0,10,0,2,7,1,33,4.7,0,0,8,16.7,2.1,0.0%,2007,rb
81,Jerome Harrison (FA),23,142,6.2,17,0,0,2,0,19,9.5,0,0,8,16.1,2.0,0.0%,2007,rb
82,Travis Minor (FA),17,68,4.0,13,0,0,12,0,86,7.2,0,0,8,15.4,1.9,0.0%,2007,rb
83,J.J. Arrington (FA),11,30,2.7,8,0,0,11,0,116,10.5,0,0,7,14.6,2.1,0.0%,2007,rb
84,Justin Griffith (FA),6,24,4.0,6,0,0,9,0,61,6.8,1,0,7,14.5,2.1,0.0%,2007,rb
85,T.J. Duckett (FA),13,83,6.4,22,0,1,0,0,0,0.0,0,0,4,14.3,3.6,0.0%,2007,rb
86,Le'Ron McClain (FA),8,18,2.3,4,0,0,9,0,55,6.1,1,0,16,13.3,0.8,0.0%,2007,rb
87,B.J. Askew (FA),0,0,0.0,0,0,0,13,1,122,9.4,0,0,9,12.2,1.4,0.0%,2007,rb
88,Mewelde Moore (FA),10,71,7.1,17,0,0,6,0,48,8.0,0,0,3,11.9,4.0,0.0%,2007,rb
89,Jackie Battle (FA),14,47,3.4,6,0,1,1,0,4,4.0,0,0,3,11.1,3.7,0.0%,2007,rb
90,Kyle Eckel (FA),23,50,2.2,10,0,1,0,0,0,0.0,0,0,6,11.0,1.8,0.0%,2007,rb
91,Jason Snelling (FA),13,43,3.3,17,0,1,0,0,0,0.0,0,0,7,10.3,1.5,0.0%,2007,rb
92,Patrick Cobbs (FA),7,33,4.7,12,0,1,1,0,9,9.0,0,0,6,10.2,1.7,0.0%,2007,rb
93,Lorenzo Neal (FA),9,16,1.8,5,0,0,7,0,21,3.0,1,0,8,9.7,1.2,0.0%,2007,rb
94,Jeremi Johnson (FA),4,19,4.8,12,0,0,4,0,14,3.5,1,0,7,9.3,1.3,0.0%,2007,rb
95,Mack Strong (FA),4,19,4.8,9,0,0,9,0,72,8.0,0,0,4,9.1,2.3,0.0%,2007,rb
96,Dwayne Wright (FA),24,75,3.1,12,0,0,2,1,12,6.0,0,0,6,8.7,1.5,0.0%,2007,rb
97,Deuce McAllister (FA),24,92,3.8,15,0,0,4,1,15,3.8,0,1,3,8.7,2.9,0.0%,2007,rb
98,Adimchinobe Echemandu (FA),12,68,5.7,20,0,0,2,2,11,5.5,0,0,2,7.9,4.0,0.0%,2007,rb
99,Brad Hoover (FA),5,24,4.8,10,0,0,8,3,52,6.5,0,0,7,7.6,1.1,0.0%,2007,rb
100,Ovie Mughelli (FA),4,6,1.5,3,0,1,3,1,9,3.0,0,0,6,7.5,1.3,0.0%,2007,rb
101,Tony Hunt (FA),9,14,1.6,4,0,1,0,0,0,0.0,0,0,4,7.4,1.9,0.0%,2007,rb
102,LaBrandon Toefield (FA),6,12,2.0,4,0,1,0,0,0,0.0,0,0,1,7.2,7.2,0.0%,2007,rb
103,Brian Calhoun (FA),7,35,5.0,17,0,0,5,0,35,7.0,0,0,4,7.0,1.8,0.0%,2007,rb
104,Jameel Cook (FA),8,24,3.0,9,0,0,8,0,40,5.0,0,0,7,6.4,0.9,0.0%,2007,rb
105,Deon Anderson (FA),0,0,0.0,0,0,0,6,0,55,9.2,0,0,6,5.5,0.9,0.0%,2007,rb
106,Tyson Thompson (FA),13,54,4.2,23,0,0,0,0,0,0.0,0,0,7,5.4,0.8,0.0%,2007,rb
107,Carey Davis (FA),9,24,2.7,8,0,0,7,0,27,3.9,0,0,8,5.1,0.6,0.0%,2007,rb
108,Artose Pinner (FA),4,49,12.3,49,0,0,0,0,0,0.0,0,0,4,4.9,1.2,0.0%,2007,rb
109,Korey Hall (FA),0,0,0.0,0,0,0,8,0,49,6.1,0,0,14,4.9,0.4,0.0%,2007,rb
110,DeDe Dorsey (FA),7,23,3.3,7,0,0,2,0,26,13.0,0,0,3,4.9,1.6,0.0%,2007,rb
111,Anthony Thomas (FA),8,12,1.5,7,0,0,4,0,35,8.8,0,0,6,4.7,0.8,0.0%,2007,rb
112,Thomas Tapeh (FA),4,18,4.5,11,0,0,4,1,25,6.3,0,0,4,4.3,1.1,0.0%,2007,rb
113,Moran Norris (FA),3,5,1.7,2,0,0,5,0,36,7.2,0,0,6,4.1,0.7,0.0%,2007,rb
114,Marcel Shipp (FA),5,23,4.6,14,0,0,2,0,16,8.0,0,0,6,3.9,0.7,0.0%,2007,rb
115,Legedu Naanee (FA),0,0,0.0,0,0,0,2,2,39,19.5,0,0,3,3.9,1.3,0.0%,2007,rb
116,Priest Holmes (FA),7,17,2.4,8,0,0,2,0,2,1.0,0,0,2,3.9,2.0,0.0%,2007,rb
117,Dante Hall (FA),1,8,8.0,8,0,0,4,0,27,6.8,0,0,5,3.5,0.7,0.0%,2007,rb
118,Dominic Rhodes (FA),9,21,2.3,11,0,0,1,0,10,10.0,0,0,3,3.1,1.0,0.0%,2007,rb
119,Clifton Dawson (FA),11,22,2.0,7,0,0,1,0,9,9.0,0,0,4,3.1,0.8,0.0%,2007,rb
120,Tony Richardson (FA),4,10,2.5,4,0,0,3,4,19,6.3,0,0,6,2.9,0.5,0.0%,2007,rb
121,Ahmard Hall (FA),0,0,0.0,0,0,0,3,0,23,7.7,0,0,4,2.3,0.6,0.0%,2007,rb
122,Jason McKie (FA),2,11,5.5,6,0,0,5,0,11,2.2,0,0,6,2.2,0.4,0.0%,2007,rb
123,Kolby Smith (FA),0,0,0.0,0,0,0,2,0,21,10.5,0,0,3,2.1,0.7,0.0%,2007,rb
124,Antonio Pittman (FA),9,19,2.1,7,0,0,0,0,0,0.0,0,0,3,1.9,0.6,0.0%,2007,rb
125,Terrelle Smith (FA),1,3,3.0,3,0,0,3,3,14,4.7,0,0,2,1.7,0.9,0.0%,2007,rb
126,Alex Haynes (FA),1,2,2.0,2,0,0,3,0,14,4.7,0,0,2,1.6,0.8,0.0%,2007,rb
127,Luke Lawton (FA),5,13,2.6,4,0,0,0,0,0,0.0,0,0,6,1.3,0.2,0.0%,2007,rb
128,Aveion Cason (FA),2,8,4.0,5,0,0,2,0,5,2.5,0,0,3,1.3,0.4,0.0%,2007,rb
129,Naufahu Tahi (FA),2,5,2.5,3,0,0,1,0,7,7.0,0,0,3,1.2,0.4,0.0%,2007,rb
130,Reno Mahe (FA),0,0,0.0,0,0,0,1,0,11,11.0,0,0,7,1.1,0.2,0.0%,2007,rb
131,Reagan Maui'a (FA),2,5,2.5,3,0,0,2,0,5,2.5,0,0,4,1.0,0.3,0.0%,2007,rb
132,Andre Hall (FA),3,10,3.3,6,0,0,0,0,0,0.0,0,0,2,1.0,0.5,0.0%,2007,rb
133,Mike Bell (FA),5,3,0.6,3,0,0,1,0,7,7.0,0,0,2,1.0,0.5,0.0%,2007,rb
134,John Kuhn (FA),0,0,0.0,0,0,0,2,0,7,3.5,0,0,16,0.7,0.0,0.0%,2007,rb
135,Justin Green (FA),0,0,0.0,0,0,0,1,0,6,6.0,0,0,5,0.6,0.1,0.0%,2007,rb
136,Garrett Wolfe (FA),5,6,1.2,2,0,0,0,0,0,0.0,0,0,3,0.6,0.2,0.0%,2007,rb
137,Mike Anderson (FA),4,2,0.5,2,0,0,1,0,2,2.0,0,0,2,0.4,0.2,0.0%,2007,rb
138,Dan Kreider (FA),1,2,2.0,2,0,0,0,0,0,0.0,0,0,1,0.2,0.2,0.0%,2007,rb
139,Alvin Pearman (FA),0,0,0.0,0,0,0,1,0,1,1.0,0,0,3,0.1,0.0,0.0%,2007,rb
140,Oren O'Neal (FA),0,0,0.0,0,0,0,1,0,1,1.0,0,0,2,0.1,0.1,0.0%,2007,rb
141,Zack Crockett (FA),1,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,2007,rb
142,Josh Scobey (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,2,0.0,0.0,0.0%,2007,rb
143,Keith Smith (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,7,0.0,0.0,0.0%,2007,rb
144,Paul Smith (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,2,0.0,0.0,0.0%,2007,rb
145,Cory Ross (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,2007,rb
146,Byron Storer (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,2007,rb
147,Stacy Tutt (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,2,0.0,0.0,0.0%,2007,rb
148,Montell Owens (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,16,0.0,0.0,0.0%,2007,rb
149,Rock Cartwright (FA),2,0,0.0,1,0,0,0,0,0,0.0,0,0,7,0.0,0.0,0.0%,2007,rb
150,Corey McIntyre (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,5,0.0,0.0,0.0%,2007,rb
151,Chris Massey (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,4,0.0,0.0,0.0%,2007,rb
152,Nick Goings (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,1,4,-2.0,-0.5,0.0%,2007,rb
1,DeAngelo Williams (FA),273,1515,5.5,69,0,18,22,3,121,5.5,2,0,16,285.6,17.9,0.1%,2008,rb
2,Adrian Peterson (FA),363,1760,4.8,67,0,10,21,4,125,6.0,0,0,16,248.5,15.5,2.1%,2008,rb
3,Matt Forte (FA),316,1238,3.9,50,0,8,63,16,477,7.6,4,0,16,243.5,15.2,19.1%,2008,rb
4,Maurice Jones-Drew (FA),197,824,4.2,46,0,12,62,10,565,9.1,2,1,16,220.9,13.8,0.0%,2008,rb
5,Chris Johnson (FA),251,1228,4.9,66,0,9,43,2,260,6.0,1,0,15,208.8,13.9,0.6%,2008,rb
6,Thomas Jones (FA),223,1058,4.7,59,0,12,27,4,160,5.9,2,0,12,205.8,17.2,0.0%,2008,rb
7,Michael Turner (FA),299,1277,4.3,70,0,12,3,0,30,10.0,0,0,12,202.7,16.9,0.0%,2008,rb
8,Brandon Jacobs (FA),219,1089,5.0,44,0,15,6,0,36,6.0,0,0,13,202.5,15.6,0.0%,2008,rb
9,Steven Jackson (FA),253,1042,4.1,56,0,7,40,8,379,9.5,1,0,12,190.1,15.8,0.0%,2008,rb
10,Frank Gore (FA),240,1036,4.3,41,0,6,43,9,373,8.7,2,0,14,188.9,13.5,12.1%,2008,rb
11,Marshawn Lynch (FA),250,1036,4.1,50,0,8,47,6,300,6.4,1,0,15,187.6,12.5,0.3%,2008,rb
12,Steve Slaton (FA),227,1090,4.8,71,0,8,35,9,280,8.0,0,0,13,185.0,14.2,0.0%,2008,rb
13,Ronnie Brown (FA),214,916,4.3,62,0,10,33,5,254,7.7,0,0,16,182.7,11.4,0.0%,2008,rb
14,Kevin Smith (FA),238,976,4.1,50,0,8,39,0,286,7.3,0,0,16,174.2,10.9,0.0%,2008,rb
15,Le'Ron McClain (FA),232,902,3.9,82,0,10,19,4,123,6.5,1,0,16,168.5,10.5,0.0%,2008,rb
16,Brian Westbrook (FA),191,775,4.1,39,0,6,46,14,356,7.7,3,0,11,167.1,15.2,0.0%,2008,rb
17,LaDainian Tomlinson (FA),215,814,3.8,45,0,7,42,0,368,8.8,1,0,12,166.2,13.9,0.0%,2008,rb
18,Clinton Portis (FA),256,1118,4.4,31,0,6,22,2,182,8.3,0,0,12,166.0,13.8,0.0%,2008,rb
19,Pierre Thomas (FA),129,625,4.8,42,0,9,31,9,284,9.2,3,0,15,162.9,10.9,0.0%,2008,rb
20,Ryan Grant (FA),312,1203,3.9,57,0,4,18,0,116,6.4,1,0,16,161.9,10.1,0.0%,2008,rb
21,Jonathan Stewart (FA),184,836,4.5,41,0,10,8,1,47,5.9,0,0,16,148.3,9.3,0.0%,2008,rb
22,Dominic Rhodes (FA),146,507,3.5,38,0,6,39,0,264,6.8,3,0,12,131.1,10.9,0.0%,2008,rb
23,Derrick Ward (FA),156,848,5.4,51,0,2,35,0,329,9.4,0,0,13,129.7,10.0,0.0%,2008,rb
24,Leon Washington (FA),76,448,5.9,61,0,6,47,11,355,7.6,2,0,16,128.3,8.0,0.0%,2008,rb
25,Kevin Faulk (FA),79,485,6.1,41,0,3,52,13,430,8.3,3,0,13,127.4,9.8,0.0%,2008,rb
26,Willis McGahee (FA),170,671,3.9,77,0,7,24,3,173,7.2,0,1,13,124.4,9.6,0.0%,2008,rb
27,Tim Hightower (FA),143,399,2.8,30,0,10,34,3,237,7.0,0,0,16,123.6,7.7,0.0%,2008,rb
28,LenDale White (FA),140,612,4.4,80,0,10,5,0,16,3.2,0,0,12,122.8,10.2,0.0%,2008,rb
29,Mewelde Moore (FA),131,569,4.3,32,0,5,37,3,283,7.6,1,0,12,121.2,10.1,0.0%,2008,rb
30,Reggie Bush (FA),106,404,3.8,43,0,2,52,2,440,8.5,4,0,10,120.4,12.0,0.0%,2008,rb
31,Marion Barber (FA),168,574,3.4,35,0,3,40,0,319,8.0,1,0,11,113.3,10.3,0.0%,2008,rb
32,Chester Taylor (FA),80,318,4.0,21,0,4,38,0,358,9.4,2,0,12,107.8,9.0,0.0%,2008,rb
33,Fred Jackson (FA),130,571,4.4,32,0,3,37,6,317,8.6,0,0,16,106.8,6.7,0.0%,2008,rb
34,Sammy Morris (FA),129,647,5.0,35,0,5,9,2,120,13.3,0,0,10,106.7,10.7,0.0%,2008,rb
35,Cedric Benson (FA),214,747,3.5,46,0,2,20,0,185,9.3,0,0,12,105.2,8.8,0.0%,2008,rb
36,Jamal Lewis (FA),210,767,3.7,29,0,3,14,5,100,7.1,0,0,12,104.7,8.7,0.0%,2008,rb
37,Darren Sproles (FA),61,330,5.4,37,0,1,29,0,342,11.8,5,0,16,103.2,6.5,0.1%,2008,rb
38,Darren McFadden (FA),113,499,4.4,50,0,4,29,0,285,9.8,0,0,13,102.4,7.9,7.0%,2008,rb
39,Ricky Williams (FA),123,509,4.1,51,0,4,22,2,182,8.3,1,0,13,99.1,7.6,0.0%,2008,rb
40,Warrick Dunn (FA),144,589,4.1,40,0,1,37,0,248,6.7,0,0,11,89.7,8.2,0.0%,2008,rb
41,Peyton Hillis (FA),68,343,5.0,19,0,5,14,0,179,12.8,1,0,12,88.2,7.4,0.0%,2008,rb
42,Jerious Norwood (FA),61,252,4.1,45,0,3,28,0,293,10.5,2,0,12,84.5,7.0,0.0%,2008,rb
43,Joseph Addai (FA),112,402,3.6,23,0,2,21,0,180,8.6,2,0,9,82.2,9.1,0.0%,2008,rb
44,Justin Fargas (FA),191,713,3.7,21,0,1,8,0,40,5.0,0,0,12,81.3,6.8,0.0%,2008,rb
45,Maurice Morris (FA),126,543,4.3,45,0,0,19,5,136,7.2,2,1,12,77.9,6.5,0.0%,2008,rb
46,Tashard Choice (FA),92,472,5.1,38,0,2,21,0,185,8.8,0,0,16,77.7,4.9,0.0%,2008,rb
47,Michael Bush (FA),95,421,4.4,67,0,3,19,2,162,8.5,0,0,15,76.6,5.1,0.0%,2008,rb
48,Deuce McAllister (FA),85,335,3.9,19,0,4,17,0,118,6.9,1,0,11,75.3,6.8,0.0%,2008,rb
49,Ray Rice (FA),107,454,4.2,60,0,0,33,9,273,8.3,0,0,13,72.7,5.6,0.0%,2008,rb
50,Larry Johnson (FA),107,459,4.3,63,0,2,6,0,62,10.3,0,0,8,68.3,8.5,0.0%,2008,rb
51,Jamaal Charles (FA),67,357,5.3,30,0,0,27,0,272,10.1,1,1,16,66.9,4.2,0.1%,2008,rb
52,Willie Parker (FA),144,528,3.7,34,0,2,3,1,13,4.3,0,0,8,66.1,8.3,0.0%,2008,rb
53,Correll Buckhalter (FA),48,255,5.3,33,0,1,16,10,241,15.1,1,0,10,61.6,6.2,0.0%,2008,rb
54,BenJarvus Green-Ellis (FA),74,275,3.7,15,0,5,3,1,37,12.3,0,0,9,61.2,6.8,0.0%,2008,rb
55,J.J. Arrington (FA),31,187,6.0,30,0,1,29,7,255,8.8,1,0,11,56.2,5.1,0.0%,2008,rb
56,Patrick Cobbs (FA),9,83,9.2,44,0,1,17,2,261,15.4,2,0,10,52.4,5.2,0.0%,2008,rb
57,Ahmad Bradshaw (FA),67,355,5.3,77,0,1,5,0,42,8.4,1,0,15,51.7,3.4,0.0%,2008,rb
58,Cadillac Williams (FA),63,233,3.7,28,0,4,7,0,43,6.1,0,0,6,51.6,8.6,0.0%,2008,rb
59,LaMont Jordan (FA),61,273,4.5,49,0,4,0,0,0,0.0,0,0,5,51.3,10.3,0.0%,2008,rb
60,Brandon Jackson (FA),45,248,5.5,32,0,1,30,0,185,6.2,0,0,13,49.3,3.8,0.0%,2008,rb
61,Earnest Graham (FA),75,229,3.1,14,0,2,18,6,132,7.3,0,2,6,48.2,8.0,0.0%,2008,rb
62,Jerome Harrison (FA),34,246,7.2,72,0,1,12,0,116,9.7,1,0,15,48.2,3.2,0.0%,2008,rb
63,Ahman Green (FA),69,266,3.9,14,0,3,7,0,29,4.1,0,0,7,47.5,6.8,0.0%,2008,rb
64,Fred Taylor (FA),84,343,4.1,24,0,1,9,1,54,6.0,0,0,9,45.7,5.1,0.0%,2008,rb
65,Felix Jones (FA),30,266,8.9,60,0,3,2,0,10,5.0,0,0,6,45.6,7.6,0.0%,2008,rb
66,DeShaun Foster (FA),69,213,3.1,18,0,1,14,3,119,8.5,1,0,8,45.2,5.7,0.0%,2008,rb
67,Tatum Bell (FA),44,249,5.7,37,0,2,10,0,57,5.7,0,0,6,42.6,7.1,0.0%,2008,rb
68,Antonio Pittman (FA),78,290,3.7,24,0,0,17,0,134,7.9,0,0,8,42.4,5.3,0.0%,2008,rb
69,Leonard Weaver (FA),21,89,4.2,15,0,0,18,5,205,11.4,2,0,11,41.4,3.8,0.0%,2008,rb
70,T.J. Duckett (FA),41,90,2.2,9,0,5,0,0,0,0.0,0,0,13,39.0,3.0,0.0%,2008,rb
71,Ladell Betts (FA),39,126,3.2,14,0,1,19,1,181,9.5,0,0,9,36.7,4.1,0.0%,2008,rb
72,Kenneth Darby (FA),32,140,4.4,14,0,0,19,5,183,9.6,0,0,7,32.3,4.6,0.0%,2008,rb
73,Edgerrin James (FA),62,237,3.8,35,0,1,4,2,33,8.3,0,1,9,31.0,3.4,0.0%,2008,rb
74,Jacob Hester (FA),19,95,5.0,28,0,1,12,0,91,7.6,1,0,16,30.6,1.9,0.0%,2008,rb
75,Michael Pittman (FA),53,240,4.5,20,0,0,7,0,59,8.4,0,0,4,29.9,7.5,0.0%,2008,rb
76,Ahmard Hall (FA),4,11,2.8,6,0,0,11,1,131,11.9,2,0,11,28.2,2.6,0.0%,2008,rb
77,Mike Tolbert (FA),13,37,2.8,11,0,0,13,3,171,13.2,1,0,13,26.8,2.1,0.0%,2008,rb
78,Gary Russell (FA),28,77,2.8,15,0,3,1,0,-2,-2.0,0,0,12,25.5,2.1,0.0%,2008,rb
79,Michael Robinson (FA),19,50,2.6,10,0,0,17,1,202,11.9,0,0,16,25.2,1.6,0.0%,2008,rb
80,Jason Wright (FA),16,51,3.2,8,0,0,20,4,137,6.9,1,0,9,24.8,2.8,0.0%,2008,rb
81,Rudi Johnson (FA),58,138,2.4,15,0,1,9,0,40,4.4,0,0,10,23.8,2.4,0.0%,2008,rb
82,P.J. Pope (FA),17,130,7.6,24,0,0,3,0,24,8.0,1,0,4,21.4,5.4,0.0%,2008,rb
83,John Kuhn (FA),8,10,1.3,3,0,1,4,0,21,5.3,2,0,16,21.1,1.3,0.0%,2008,rb
84,DeShawn Wynn (FA),8,110,13.8,73,0,1,3,0,30,10.0,0,0,4,20.0,5.0,0.0%,2008,rb
85,Greg Jones (FA),2,13,6.5,13,0,0,13,2,116,8.9,1,0,12,18.9,1.6,0.0%,2008,rb
86,Montell Owens (FA),2,43,21.5,41,0,2,2,0,17,8.5,0,0,16,18.0,1.1,0.0%,2008,rb
87,Ryan Moats (FA),26,94,3.6,12,0,1,3,0,14,4.7,0,0,7,16.8,2.4,0.0%,2008,rb
88,Kolby Smith (FA),31,81,2.6,19,0,1,5,0,25,5.0,0,0,4,16.6,4.2,0.0%,2008,rb
89,Vonta Leach (FA),1,1,1.0,1,0,1,12,1,103,8.6,0,0,16,16.4,1.0,0.0%,2008,rb
90,B.J. Askew (FA),7,14,2.0,3,0,2,5,0,27,5.4,0,0,5,16.1,3.2,0.0%,2008,rb
91,Aaron Stecker (FA),8,43,5.4,12,0,0,9,0,52,5.8,1,0,6,15.5,2.6,0.0%,2008,rb
92,Jason Snelling (FA),15,62,4.1,13,0,0,8,0,89,11.1,0,0,16,15.1,0.9,0.0%,2008,rb
93,Adrian Peterson (FA),20,100,5.0,16,0,0,6,3,45,7.5,0,0,9,14.5,1.6,0.0%,2008,rb
94,Mike Karney (FA),8,10,1.3,3,0,2,6,1,11,1.8,0,0,8,14.1,1.8,0.0%,2008,rb
95,Ryan Torain (FA),15,69,4.6,19,0,1,0,0,0,0.0,0,0,2,12.9,6.5,0.0%,2008,rb
