Rank,Player,RUSHING ATT,RUSHING YDS,RUSHING Y/A,RUSHING LG,RUSHING 20+,RUSHING TD,RECEIVING REC,RECEIVING TGT,RECEIVING YDS,RECEIVING Y/R,RECEIVING TD,MISC FL,MISC G,MISC FPTS,MISC FPTS/G,MISC ROST,year,position
141,Marc Edwards (FA),0,0,0.0,0,0,0,7,8,41,5.9,0,0,7,4.1,0.6,0.0%,2004,rb
142,Jon Ritchie (FA),0,0,0.0,0,0,0,4,6,36,9.0,0,0,2,3.6,1.8,0.0%,2004,rb
143,Ian Smart (FA),2,26,13.0,25,0,0,2,2,10,5.0,0,0,3,3.6,1.2,0.0%,2004,rb
144,B.J. Askew (FA),6,23,3.8,14,0,0,2,2,12,6.0,0,0,13,3.5,0.3,0.0%,2004,rb
145,Chris Perry (FA),2,1,0.5,1,0,0,3,3,33,11.0,0,0,2,3.4,1.7,0.0%,2004,rb
146,Cecil Sapp (FA),4,32,8.0,18,0,0,0,2,0,0.0,0,0,3,3.2,1.1,0.0%,2004,rb
147,Heath Evans (FA),7,20,2.9,7,0,0,2,4,12,6.0,0,0,14,3.2,0.2,0.0%,2004,rb
148,Adimchinobe Echemandu (FA),8,25,3.1,6,0,0,3,4,25,8.3,0,1,3,3.0,1.0,0.0%,2004,rb
149,Cedric Cobbs (FA),22,50,2.3,13,0,0,0,0,0,0.0,0,1,3,3.0,1.0,0.0%,2004,rb
150,Fred McCrary (FA),0,0,0.0,0,0,0,2,4,23,11.5,0,0,2,2.3,1.2,0.0%,2004,rb
151,George Layne (FA),1,12,12.0,12,0,0,1,1,6,6.0,0,0,4,1.8,0.5,0.0%,2004,rb
152,Vick King (FA),4,9,2.3,3,0,0,1,2,8,8.0,0,0,2,1.7,0.9,0.0%,2004,rb
153,Ki-Jana Carter (FA),10,17,1.7,8,0,0,0,1,0,0.0,0,0,2,1.7,0.9,0.0%,2004,rb
154,Kerry Carter (FA),4,15,3.8,6,0,0,0,0,0,0.0,0,0,9,1.5,0.2,0.0%,2004,rb
155,Jamar Martin (FA),0,0,0.0,0,0,0,4,8,15,3.8,0,0,6,1.5,0.3,0.0%,2004,rb
156,Moran Norris (FA),1,0,0.0,0,0,0,4,5,13,3.3,0,0,8,1.3,0.2,0.0%,2004,rb
157,Greg Comella (FA),0,0,0.0,0,0,0,1,1,12,12.0,0,0,2,1.2,0.6,0.0%,2004,rb
158,Chris Hetherington (FA),1,4,4.0,4,0,0,3,4,28,9.3,0,1,4,1.2,0.3,0.0%,2004,rb
159,Jason Wright (FA),3,10,3.3,8,0,0,0,1,0,0.0,0,0,2,1.0,0.5,0.0%,2004,rb
160,Larry Ned (FA),0,0,0.0,0,0,0,1,1,9,9.0,0,0,12,0.9,0.1,0.0%,2004,rb
161,Rod Smart (FA),3,4,1.3,3,0,0,1,0,5,5.0,0,0,3,0.9,0.3,0.0%,2004,rb
162,Doug Easlick (FA),0,0,0.0,0,0,0,1,2,4,4.0,0,0,2,0.4,0.2,0.0%,2004,rb
163,Lousaka Polite (FA),0,0,0.0,0,0,0,1,1,4,4.0,0,0,1,0.4,0.4,0.0%,2004,rb
164,Jarrod Baxter (FA),2,1,0.5,1,0,0,1,2,3,3.0,0,0,3,0.4,0.1,0.0%,2004,rb
165,Dante Brown (FA),1,2,2.0,2,0,0,0,0,0,0.0,0,0,1,0.2,0.2,0.0%,2004,rb
