Rank,Player,RECEIVING REC,RECEIVING TGT,RECEIVING YDS,RECEIVING Y/R,RECEIVING LG,RECEIVING 20+,RECEIVING TD,RUSHING ATT,RUSHING YDS,RUSHING TD,MISC FL,MISC G,MISC FPTS,MISC FPTS/G,MISC ROST,year,position
109,Brian Jennings (FA),0,0,0,0.0,0,0,0,0,0,0,0,15,0.0,0.0,0.0%,2005,te
110,Mike Leach (FA),0,0,0,0.0,0,0,0,0,0,0,0,14,0.0,0.0,0.0%,2005,te
1,Antonio Gates (FA),71,0,924,13.0,57,0,9,0,0,0,0,16,146.4,9.2,0.2%,2006,te
2,Alge Crumpler (FA),56,0,780,13.9,46,0,8,0,0,0,0,16,126.0,7.9,0.0%,2006,te
3,Tony Gonzalez (FA),73,0,900,12.3,57,0,5,0,0,0,0,15,122.0,8.1,0.0%,2006,te
4,Todd Heap (FA),73,0,765,10.5,30,0,6,0,0,0,0,16,112.5,7.0,0.0%,2006,te
5,Chris Cooley (FA),57,0,734,12.9,66,0,6,0,0,0,0,16,111.4,7.0,0.0%,2006,te
6,Kellen Winslow (FA),89,0,875,9.8,40,0,3,0,0,0,0,16,105.5,6.6,0.0%,2006,te
7,Jeremy Shockey (FA),66,0,623,9.4,25,0,7,0,0,0,0,15,104.3,7.0,0.0%,2006,te
8,Desmond Clark (FA),45,0,626,13.9,33,0,6,0,0,0,0,14,98.6,7.0,0.0%,2006,te
9,L.J. Smith (FA),50,0,611,12.2,65,0,5,0,0,0,0,14,93.1,6.7,0.0%,2006,te
10,Benjamin Watson (FA),49,0,643,13.1,40,0,3,0,0,0,0,13,82.3,6.3,2.8%,2006,te
11,Randy McMichael (FA),62,0,640,10.3,24,0,3,0,0,0,0,16,82.0,5.1,0.0%,2006,te
12,Jason Witten (FA),64,0,754,11.8,42,0,1,0,0,0,0,16,81.4,5.1,0.0%,2006,te
13,Heath Miller (FA),34,0,393,11.6,87,0,5,0,0,0,0,15,69.3,4.6,0.0%,2006,te
14,Owen Daniels (FA),34,0,352,10.4,33,0,5,0,0,0,0,14,65.2,4.7,0.0%,2006,te
15,Ernest Wilford (FA),36,0,524,14.6,41,0,2,0,0,0,0,15,64.4,4.3,0.0%,2006,te
16,Dallas Clark (FA),30,0,367,12.2,40,0,4,0,0,0,0,12,60.7,5.1,0.0%,2006,te
17,Bobby Wade (FA),33,0,461,14.0,25,0,2,0,0,0,0,16,58.1,3.6,0.0%,2006,te
18,Bo Scaife (FA),29,0,370,12.8,34,0,2,1,13,1,0,12,56.3,4.7,0.0%,2006,te
19,Dan Campbell (FA),21,0,308,14.7,30,0,4,0,0,0,0,14,54.8,3.9,0.0%,2006,te
20,Chris Baker (FA),31,0,300,9.7,28,0,4,0,0,0,0,16,54.0,3.4,0.0%,2006,te
21,George Wrighster (FA),39,0,353,9.1,23,0,3,0,0,0,0,15,53.3,3.6,0.0%,2006,te
22,Tony Scheffler (FA),18,0,286,15.9,29,0,4,1,3,0,0,12,52.9,4.4,0.0%,2006,te
23,Jerramy Stevens (FA),22,0,231,10.5,26,0,4,0,0,0,0,10,49.1,4.9,0.0%,2006,te
24,Vernon Davis (FA),20,0,265,13.3,52,0,3,2,5,0,0,10,45.0,4.5,1.6%,2006,te
25,Jermaine Wiggins (FA),46,0,386,8.4,24,0,1,0,0,0,0,15,44.6,3.0,0.0%,2006,te
26,Alex Smith (FA),35,0,250,7.1,27,0,3,0,0,0,0,14,43.0,3.1,0.0%,2006,te
27,Eric Johnson (FA),34,0,292,8.6,26,0,2,0,0,0,0,11,41.2,3.7,0.0%,2006,te
28,Courtney Anderson (FA),25,0,285,11.4,35,0,2,0,0,0,0,12,40.5,3.4,0.0%,2006,te
29,Robert Royal (FA),23,0,233,10.1,33,0,3,1,-9,0,0,15,40.4,2.7,0.0%,2006,te
30,Ben Utecht (FA),37,0,377,10.2,26,0,0,0,0,0,0,13,37.7,2.9,0.0%,2006,te
31,Steve Heiden (FA),36,0,249,6.9,13,0,2,0,0,0,0,15,36.9,2.5,0.0%,2006,te
32,Daniel Graham (FA),21,0,235,11.2,29,0,2,0,0,0,0,11,35.5,3.2,0.0%,2006,te
33,Daniel Wilcox (FA),20,0,166,8.3,35,0,3,0,0,0,0,14,34.6,2.5,0.0%,2006,te
34,Matt Schobel (FA),14,0,214,15.3,60,0,2,0,0,0,0,13,33.4,2.6,0.0%,2006,te
35,Bryan Fletcher (FA),18,0,202,11.2,26,0,2,0,0,0,0,10,32.2,3.2,0.0%,2006,te
36,David Martin (FA),21,0,198,9.4,23,0,2,0,0,0,0,8,31.8,4.0,0.0%,2006,te
37,Reggie Kelly (FA),21,0,254,12.1,32,0,1,0,0,0,0,13,31.4,2.4,0.0%,2006,te
38,Kris Wilson (FA),15,0,132,8.8,19,0,3,0,0,0,0,12,31.2,2.6,0.0%,2006,te
39,Randal Williams (FA),28,0,293,10.5,28,0,0,0,0,0,0,14,29.3,2.1,0.0%,2006,te
40,Joe Klopfenstein (FA),20,0,226,11.3,28,0,1,0,0,0,0,13,28.6,2.2,0.0%,2006,te
41,Stephen Alexander (FA),18,0,160,8.9,24,0,2,0,0,0,0,10,28.0,2.8,0.0%,2006,te
42,Brandon Manumaleuna (FA),14,0,91,6.5,19,0,3,1,1,0,0,8,27.2,3.4,0.0%,2006,te
43,Ben Troupe (FA),13,0,150,11.5,32,0,2,0,0,0,0,10,27.0,2.7,0.0%,2006,te
44,Bubba Franks (FA),25,0,232,9.3,19,0,0,0,0,0,0,11,23.2,2.1,0.0%,2006,te
45,Kris Mangum (FA),21,0,170,8.1,19,0,1,0,0,0,0,9,23.0,2.6,0.0%,2006,te
46,David Thomas (FA),11,0,159,14.5,36,0,1,0,0,0,0,6,21.9,3.7,0.0%,2006,te
47,Mike Sellers (FA),18,0,105,5.8,15,0,1,12,51,0,0,16,21.6,1.4,0.0%,2006,te
48,John Madsen (FA),11,0,146,13.3,57,0,1,0,0,0,0,9,20.6,2.3,0.0%,2006,te
49,Marcedes Lewis (FA),13,0,126,9.7,31,0,1,0,0,0,0,13,18.6,1.4,0.0%,2006,te
50,Mark Bruener (FA),9,0,62,6.9,25,0,2,0,0,0,0,8,18.2,2.3,0.0%,2006,te
51,Tony Stewart (FA),14,0,120,8.6,26,0,1,0,0,0,0,13,18.0,1.4,0.0%,2006,te
52,Justin Peelle (FA),16,0,116,7.3,25,0,1,0,0,0,0,13,17.6,1.4,0.0%,2006,te
53,Anthony Becht (FA),18,0,115,6.4,13,0,1,0,0,0,0,11,17.5,1.6,0.0%,2006,te
54,Adam Bergen (FA),15,0,111,7.4,17,0,1,0,0,0,0,7,17.1,2.4,0.0%,2006,te
55,Mark Campbell (FA),18,0,164,9.1,33,0,0,0,0,0,0,11,16.4,1.5,0.0%,2006,te
56,Leonard Pope (FA),16,0,161,10.1,33,0,0,0,0,0,0,14,16.1,1.2,0.0%,2006,te
57,John Gilmore (FA),6,0,38,6.3,18,0,2,0,0,0,0,6,15.8,2.6,0.0%,2006,te
58,Donald Lee (FA),10,0,150,15.0,32,0,0,0,0,0,0,10,15.0,1.5,0.0%,2006,te
59,Billy Miller (FA),14,0,129,9.2,22,0,0,0,0,0,0,8,14.9,1.9,0.0%,2006,te
