,team,year,TOTAL FIRST DOWNS,TOTAL FIRST DOWNS Opponent,FIRST DOWNS Rushing,FIRST DOWNS Passing,FIRST DOWNS By Penalty,FIRST DOWNS Rushing Opponent,FIRST DOWNS Passing Opponent,FIRST DOWNS By Penalty Opponent,THIRD DOWN CONVERSIONS,THIRD DOWN CONVERSIONS Opponent,FOURTH DOWN CONVERSIONS,FOURTH DOWN CONVERSIONS Opponent,TOTAL OFFENSIVE YARDS,TOTAL OFFENSIVE YARDS Opponent,OFFENSE Plays,OFFENSE Average Yards,OFFENSE Plays Opponent,OFFENSE Average Yards Opponent,TOTAL RUSHING YARDS,TOTAL RUSHING YARDS Opponent,RUSHING Plays,RUSHING Average Yards,RUSHING Plays Opponent,RUSHING Average Yards Opponent,TOTAL PASSING YARDS,TOTAL PASSING YARDS Opponent,PASSING Comp,PASSING Att,PASSING Int,PASSING Avg,PASSING Comp Opponent,PASSING Att Opponent,PASSING Int Opponent,PASSING Avg Opponent,SACKS,SACKS Opponent,FIELD GOALS,FIELD GOALS Opponent,TOUCHDOWNS,TOUCHDOWNS Opponent,TDs Rushing,TDs Passing,TDs Returns,TDs Defensive,TDs Rushing Opponent,TDs Passing Opponent,TDs Returns Opponent,TDs Defensive Opponent,TURNOVER RATIO,TURNOVER RATIO Opponent
0,neworleanssaints,2018,377,333,134,210,33,72,224,37,82 / 184,78 / 189,13 / 16,14 / 29,6067,5585,1010,6,978,5.7,2025,1283,471,4.3,356,3.6,4174,4302,381,519,7,8,384,573,12,7.5,20,49,28 / 30,17 / 23,60,43,26,33,0,1,12,30,0,1,8,
0,neworleanssaints,2019,347,311,97,230,20,71,197,43,81 / 192,73 / 210,5 / 13,11 / 25,5982,5329,1011,5.9,999,5.3,1738,1461,405,4.3,345,4.2,4431,3868,418,581,6,7.6,371,603,13,6.4,25,51,32 / 36,22 / 24,51,40,12,36,1,3,12,27,1,0,15,
0,neworleanssaints,2020,367,320,147,199,21,85,185,50,93 / 208,79 / 207,11 / 16,16 / 30,6023,4974,1045,5.8,992,5,2265,1502,494,4.6,390,3.8,3945,3472,370,522,8,7.6,333,557,18,6.2,29,45,23 / 28,22 / 26,59,39,30,28,0,1,11,28,0,0,9,
0,neworleanssaints,2021,307,304,113,165,29,84,185,35,78 / 220,89 / 240,11 / 21,9 / 21,5177,5410,1051,4.9,1064,5.1,1991,1589,510,3.9,426,3.7,3437,3821,293,504,13,6.8,369,592,18,6.4,37,46,25 / 30,31 / 38,43,35,12,29,0,2,12,20,0,3,7,
0,neworleanssaints,2022,305,319,103,181,21,122,159,38,88 / 219,97 / 233,4 / 11,8 / 19,5674,5352,1015,5.6,1076,5,1982,2218,465,4.3,492,4.5,3969,3134,338,512,14,7.8,322,536,7,5.8,38,48,23 / 31,32 / 35,37,36,12,24,0,1,14,17,0,5,-11,
0,giants,2017,271,313,66,178,27,101,189,23,74 / 227,88 / 222,8 / 21,5 / 17,5028,5971,1036,4.8,1052,5.7,1549,1933,394,3.9,464,4.2,3680,4038,373,608,14,6,347,561,13,7.2,34,27,18 / 25,28 / 36,28,44,6,20,0,2,10,32,1,1,-3,
0,giants,2018,297,346,71,208,18,103,205,38,76 / 206,87 / 206,12 / 20,14 / 17,5697,5942,984,5.8,1034,5.8,1650,1898,354,4.7,444,4.3,4405,4044,382,583,12,7.6,362,560,16,7.2,47,30,32 / 33,31 / 35,39,45,13,23,0,3,18,24,0,3,2,
0,giants,2019,311,343,89,187,35,100,211,32,79 / 212,86 / 216,14 / 31,8 / 14,5416,6037,1012,5.4,1061,5.7,1685,1812,362,4.6,469,3.9,4070,4225,376,607,17,6.7,369,556,10,7.6,43,36,12 / 17,25 / 32,43,53,11,30,0,2,19,30,0,4,-17,
0,giants,2020,297,353,91,178,28,115,215,23,72 / 198,91 / 204,14 / 22,11 / 18,4794,5589,966,5,1046,5.3,1768,1782,399,4.4,432,4.1,3336,3807,321,517,11,6.4,388,574,11,6.6,50,40,31 / 32,32 / 36,26,38,13,12,0,2,14,22,1,1,0,
0,giants,2021,299,365,90,171,38,126,216,23,84 / 230,90 / 226,13 / 30,15 / 23,4884,6032,1050,4.6,1137,5.3,1688,2193,419,4,492,4.5,3463,3839,351,593,20,5.8,402,611,15,6.3,38,34,29 / 33,34 / 38,24,45,8,15,0,1,15,27,0,3,-8,
